question	output	answer
Which movies's screenplay is written by Akiva Goldsman	Batman Forever, I, Robot (film), The Client (1994 film), Angels & Demons (film), A Beautiful Mind (film), The 5th Wave (film), The Da Vinci Code (film), A Time to Kill (1996 film), The Divergent Series: Insurgent	The films with screenplays written by Akiva Goldsman are Batman Forever, I, Robot (film), The Client (1994 film), Angels & Demons (film), A Beautiful Mind (film), The 5th Wave (film), The Da Vinci Code (film), A Time to Kill (1996 film), The Divergent Series: Insurgent.
Which state is the birth location of Ann Monroe Gilchrist Strong?	Tunisia, United States	The country of the birthplace of Ann Monroe Gilchrist Strong is Tunisia, United States.
Who had Joe Purcell and Winston Bryant as lieutenants?	Bill Clinton, Presidency of Bill Clinton	The presidents with Joe Purcell and Winston Bryant as lieutenants are Bill Clinton, Presidency of Bill Clinton.
Which university provides license for WRVU ?	Vanderbilt University	The licensor of WRVU is Vanderbilt University.
Who are some miss michigan usa?	Channing Pierce, Crystal Hayes, Rashontae Wawrzyniak, Kenya Moore, Kelly Best, Danelle Gay, Rima Fakih, Susie Leica	The women with title Miss Michigan USA are Channing Pierce, Crystal Hayes, Rashontae Wawrzyniak, Kenya Moore, Kelly Best, Danelle Gay, Rima Fakih, Susie Leica.
In how many nations does Rhaetian Railways own train stations?	87	There are 87 nations with train stations owned by the Rhaetian Railway organization.
List the awards won by the wife of Ingrid von Rosen.	Academy Awards, Goethe Prize, Praemium Imperiale	The awards of the wife of Ingrid von Rosen are Academy Awards, Goethe Prize, Praemium Imperiale.
Name the writer whose one of the notable work is Adventures of Huckleberry Finn and died in Redding, Connecticut?	Mark Twain	Mark Twain is the writer whose famous work is Adventures of Huckleberry Finn and died in Redding, Connecticut.
Is Sloth in the Chordate phylum?	Yes	Yes, Chordate is the phylum of Sloth.
What is the television show whose channel's parent organisation is Fox Sports?	The Dan Patrick Show	The television show whose channel's parent organisation is Fox Sports is The Dan Patrick Show.
How many publisher have been founded by american citizens?	3	3 publishers have been founded by American citizens.
In which country is there a political party whose leader is Jose Cha Cha Jimenez?	Puerto Rico	Puerto Rico is the country of the political party whose leader is Jose Cha Cha Jimenez.
What is the river that falls into North Sea and Thames Estuary?	River Thames	The river whose mouths are North Sea and Thames Estuary is River Thames.
How many companies have manufactured the rockets launched from the Cape Canaveral Air Force Station?	60	There are 60 manufacturers of the rockets whose launch site is Cape Canaveral Air Force Station.
Name the people who were in a youth club managed by Luis Enrique ?	answer	The people whose youthclubs's manager was Luis Enrique are answer.
Where is the senator from whose successor was James belford?	Colorado, Colorado's at-large congressional district	The regions of the senator whose successor is James B. Belford are Colorado, Colorado's at-large congressional district.
Where was Live in Detroit, MI recorded?	Detroit, Michigan, Eastown Theatre	The Live in Detroit, MI was recorded in Detroit, Michigan, Eastown Theatre.
From where is Quinn Ojinnaka billed?	Atlanta, Georgia (U.S. state), Washington, D.C.	The places where Quinn Ojinnaka was billed are Atlanta, Georgia (U.S. state), Washington, D.C..
List the home town of the bands whose label is Alive Naturalsound Records ?	Japan, Buffalo, New York, United States, Story City, Iowa, Akron, Ohio, Nebraska, Okinawa Prefecture, Fort Wayne, Indiana, Maumee, Ohio, California, San Francisco, Cincinnati, Nashville, Tennessee	The hometowns of the bands signed with Alive Naturalsound Records label are Japan, Buffalo, New York, United States, Story City, Iowa, Akron, Ohio, Nebraska, Okinawa Prefecture, Fort Wayne, Indiana, Maumee, Ohio, California, San Francisco, Cincinnati, Nashville, Tennessee.
In how many places are Marjas found?	21	There are 21 places where Marjas have found?.
To what companies is Dennis Muilenburg important?	Boeing	Boeing is the company whose one key person is Dennis Muilenburg.
Is Henry David Thoreau interested in Politics?	Yes	Yes, Politics is one of the main interests of Henry David Thoreau.
In what movies did Akira Ifukube compose the music?	answer	The films composed by Akira Ifukube are answer.
What is the organisation whose purposes are Environmentalism and Peace?	Greenpeace, Greenpeace Nordic	The organisations whose purposes are Environmentalism and Peace are Greenpeace, Greenpeace Nordic.
In how many places are the companies founded in Canada operating?	45	There are 45 locations of the companies founded in Canada.
Give me some organizations working for Environmentalism?	answer	The organisations working for Environmentalism are answer.
How many TV shows have executive producer as Steven Moffat ?	36	There are 36 television shows whose executive producer is Steven Moffat.
Where do the airlines garrisoned at Manchester airport fly to?	North America, Europe, Africa, Caribbean	The destinations of the airlines whose garrison is Manchester Airport are North America, Europe, Africa, Caribbean.
What is the religion of the political party which is an international party of Hamas?	Wahhabism, Sunni Islam, Islam	The religions of the political party which is the international party of Hamas are Wahhabism, Sunni Islam, Islam.
Which US city can be said to be a part of american mediterranean sea and the biscayne bay?	Miami	Miami is the city of the American Mediterranean Sea and Biscayne Bay.
Who owns the ship Victoria?	Ferdinand Magellan	Ferdinand Magellan is the owner of Victoria ship.
What is the country whose leader name is Gerard Larcher?	France	France is the country with leader Gerard Larcher.
Which band made the song Take me There, and has collaborated with Blayse in the past?	Blackstreet	The musical band of Take Me There song and associated with Blayse is Blackstreet.
Where is the arena of WPC Dynamo Moscow situated?	Moscow, Swimming Pool at the Olimpiysky Sports Complex	The arena of WPC Dynamo Moscow is Moscow, Swimming Pool at the Olimpiysky Sports Complex.
Which river's source mountain is Baikal Mountains and is located in Laptev Sea ?	Lena River	Lena River is originated from Baikal Mountains and located in Laptev Sea.
Whose families are Buccinoidea and Buccinidae?	answer	The things belonging to Buccinoidea and Buccinidae families are answer.
Into what military organizations is the United States Department of Defense divided?	answer	The military units under the United States Department of Defense are answer.
Which genre of books are published by Random House?	answer	The subjects of the books published by Random House are answer.
List all the layouts of the automobile whose one of the layout is four-wheel-drive layout ?	Front-engine, four-wheel-drive layout, Front-engine, front-wheel-drive layout, Front-engine, rear-wheel-drive layout, Rear-engine, rear-wheel-drive layout, FF layout, Front-engine, four-wheel drive layout, Longitudinal engine, Automobile layout, AWD (vehicle), North America, Transverse engine, Front-engine design	The layouts of the automobiles whose one layout is four-wheel-drive layout are Front-engine, four-wheel-drive layout, Front-engine, front-wheel-drive layout, Front-engine, rear-wheel-drive layout, Rear-engine, rear-wheel-drive layout, FF layout, Front-engine, four-wheel drive layout, Longitudinal engine, Automobile layout, AWD (vehicle), North America, Transverse engine, Front-engine design.
How many characters were made by Paul Dini?	13	There are 13 characters created by Paul Dini.
Count the tenants of the stadiums owned by toronto.	35	There are 35 tenants of the stadiums owned by toronto.
Where do beauty queens with brown hair reside?	answer	The beauty queens with brown hair resides in answer.
Who all have developed a cross platform software?	answer	The developers of cross-platform software are answer.
List the countries through which European rout E39 and E8 passes ?	Norway	Norway is the county of European route E39 and route E8.
Which river ends at Thames Estuary and North Sea?	River Thames	River Thames is the river whose mouths are Thames Estuary and North Sea.
What is the company whose one of the key person is Dennis Muilenburg and produces Boeing CH-47 Chinook?	Boeing	Boeing is the company with key person Dennis Muilenburg and product Boeing CH-47 Chinook.
Was Zambezi originate in the north western province of zambia?	Yes	Yes, the North-Western Province, Zambia is the source region of Zambezi.
Where was MacKenzie Miller born?	Kentucky, Versailles, Kentucky, United States	The birthplace of MacKenzie Miller is Kentucky, Versailles, Kentucky, United States.
Name the mammals which are primate and belongs to family of ape?	answer	The mammals ordered as primate and belong to the ape family are answer.
Name the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense?	United States Navy	United States Navy is the military unit whose garrison is Arlington County, Virginia and command structure is United States Department of Defense.
Who all have succeeded the kings buried in Rome?	Tiberius, Claudius, Caligula, Kingdom of Italy (Napoleonic)	The successor of kings who have graves in Rome are Tiberius, Claudius, Caligula, Kingdom of Italy (Napoleonic).
Who designed the language integrated query?	Microsoft	The Language Integrated Query is designed by Microsoft.
Which shows are similar to the ones produced by Phil Collinson?	Doctor Who, Torchwood, K-9 (TV series), Sarah Jane's Alien Files	The television shows related to those with executive producer Phil Collinson are Doctor Who, Torchwood, K-9 (TV series), Sarah Jane's Alien Files.
Give me list of people who were the first to climb a peak in the Yosemite park?	John Muir, Glen Dawson, Clarence King, James Terry Gardiner, Jules Eichorn, François E. Matthes, Allen Steck, John Salathé	The people who first ascended mountains located in Yosemite National Park are John Muir, Glen Dawson, Clarence King, James Terry Gardiner, Jules Eichorn, François E. Matthes, Allen Steck, John Salathé.
